NUMBER_PR,SYSTEM,URL,NFR_TYPE,PHRASE,KEYWORDS,LOCATION,OBS,ISSUE
7467,Spring Security,https://github.com/spring-projects/spring-security/pull/7467,"Security, Maintainability",Allow to customize OAuth2AuthorizationRequestRedirectWebFilter in OAuth2LoginSpec,"OAuth2AuthorizationRequestRedirectWebFilter, OAuth2LoginSpec, customize",Title,-,https://github.com/spring-projects/spring-security/issues/7466
51,Spring Security,https://github.com/spring-projects/spring-security/pull/51,Security,SEC-1932 Add Pbkdf2PasswordEncoder,Pbkdf2PasswordEncoder,Title,-,https://github.com/spring-projects/spring-security/issues/2158
9505,Spring Security,https://github.com/spring-projects/spring-security/pull/9505,Security,Gh 6053 support jwt bearer grant type,"jwt, bearer, grant",Title,-,https://github.com/spring-projects/spring-security/issues/6053
11168,Spring Security,https://github.com/spring-projects/spring-security/pull/11168,None,-,-,-,-,https://github.com/spring-projects/spring-security/issues/11153
6393,Spring Security,https://github.com/spring-projects/spring-security/pull/6393,Security,Update JwtTimestampValidator.java,JwtTimestampValidator.java,Title,"Já não é o primeiro caso em que a keyword está dentro de uma palavra maior. Normalmente acontece quando o título se refere ao nome de uma classe (e.g. JwtTimestampValidator.java, Pbkdf2PasswordEncoder, etc.)",https://github.com/spring-projects/spring-security/issues/6380
6375,Spring Security,https://github.com/spring-projects/spring-security/pull/6375,Security,ID Token validation supports clock skew,token,Title,,https://github.com/spring-projects/spring-security/issues/5839
10574,Spring Security,https://github.com/spring-projects/spring-security/pull/10574,Security,Prevent using both authorizeRequests and authorizeHttpRequests,"authorizeRequests, authorizeHttpRequests",Title,-,https://github.com/spring-projects/spring-security/issues/10573
10357,Spring Security,https://github.com/spring-projects/spring-security/pull/10357,None,-,-,-,-,https://github.com/spring-projects/spring-security/issues/10117
10895,Spring Security,https://github.com/spring-projects/spring-security/pull/10895,None,-,-,-,-,https://github.com/spring-projects/spring-security/issues/10481
11321,Spring Security,https://github.com/spring-projects/spring-security/pull/11321,Security,Add support to ClientRegistrations for using a metadata resolver,ClientRegistrations,Title,-,https://github.com/spring-projects/spring-security/issues/8882
6930,Spring Security,https://github.com/spring-projects/spring-security/pull/6930,None,-,-,-,-,https://github.com/spring-projects/spring-security/issues/6929
5316,Spring Security,https://github.com/spring-projects/spring-security/pull/5316,Robustness,"CookieServerCsrfTokenRepository fails when cookie is null/empty, The CookieServerCsrfTokenRepository fails with an IllegalArgumentException
when a cookie is present but the value is null or empty.","failsm, IllegalArgumentException","Title, Description",-,https://github.com/spring-projects/spring-security/issues/5315
7748,Spring Security,https://github.com/spring-projects/spring-security/pull/7748,Maintainability,"Simplify customizing OAuth2AuthorizationRequest, Although this strategy could fulfill most (if not all) use cases, it does require some extra configuration that may not be as convenient compared to directly ""hooking"" into the OAuth2AuthorizationRequest.Builder for customizations.","simplify, convenient","Title, Description",-,https://github.com/spring-projects/spring-security/issues/7696
8854,Spring Security,https://github.com/spring-projects/spring-security/pull/8854,Security,"Introduce AuthenticationConverterServerWebExchangeMatcher, It can be used as a matcher where SecurityFilterChain should be matched based on used authentication method.","Authentication, SecurityFilterChain","Title, Description",-,https://github.com/spring-projects/spring-security/issues/8824
11054,Spring Security,https://github.com/spring-projects/spring-security/pull/11054,Maintainability,"Make getters of handlers publically accessible, Changes AbstractAuthenticationProcessingFilter getters of success and failure handlers to public visibility so that allowSessionCreation flag can be configured, see also gh-11053.","publically, acessible, getters, public, visibility",Title,-,https://github.com/spring-projects/spring-security/issues/11053
4897,Spring Security,https://github.com/spring-projects/spring-security/pull/4897,"Maintainability, Security","The first commit fixes incomplete commit e68d8bf in context with gh-234.
e68d8bf added a private field providedSessionAuthenticationStrategy but missed to set it somewhere.
The second commit improves the possibilities to configure session management.
In my opinion it's kind of surprising that setting session authorization disables session fixation.","session, authorization",Description,"Identifiquei manutenibilidade pelo contexto, mas não encontrei nenhuma keyword específica que pudesse apontar o NFR.",https://github.com/spring-projects/spring-security/issues/234
4119,Spring Security,https://github.com/spring-projects/spring-security/pull/4119,Maintainability,Polishing the ReferrerPolicyHeaderWriter,polishing,Title,,https://github.com/spring-projects/spring-security/issues/4110
